Positionx,Positiony,Velocityx,Velocityy
0.005,0.747,-0.00608,-0.197
0.005,0.753,-0.00629,-0.198
0.005,0.76,-0.00656,-0.199
0.005,0.767,-0.00687,-0.2
0.005,0.773,-0.00716,-0.201
0.005,0.78,-0.00748,-0.201
0.005,0.787,-0.00785,-0.2
0.005,0.793,-0.0083,-0.199
0.005,0.8,-0.00872,-0.197
0.005,0.807,-0.00887,-0.196
0.005,0.813,-0.00876,-0.194
0.005,0.82,-0.00854,-0.193
0.005,0.827,-0.00834,-0.192
0.005,0.833,-0.00832,-0.191
0.005,0.84,-0.00848,-0.189
0.005,0.847,-0.00869,-0.187
0.005,0.853,-0.00891,-0.185
0.005,0.86,-0.00902,-0.183
0.005,0.867,-0.00894,-0.18
0.005,0.873,-0.00867,-0.178
0.005,0.88,-0.00836,-0.177
0.005,0.887,-0.00825,-0.176
0.005,0.893,-0.00816,-0.175
0.005,0.9,-0.00796,-0.174
0.005,0.907,-0.00765,-0.175
0.005,0.913,-0.00722,-0.176
0.005,0.92,-0.00696,-0.177
0.005,0.927,-0.00683,-0.179
0.005,0.933,-0.00665,-0.18
0.005,0.94,-0.00639,-0.183
0.005,0.947,-0.00601,-0.185
0.005,0.953,-0.00564,-0.188
0.005,0.96,-0.00554,-0.191
0.005,0.967,-0.00572,-0.194
0.005,0.973,-0.00592,-0.196
0.005,0.98,-0.00607,-0.199
0.005,0.987,-0.0061,-0.202
0.005,0.993,-0.00597,-0.205
0.005,1,-0.00591,-0.208
0.01,0,0.0459,-0.335
0.01,0.00667,0.107,-0.142
0.01,0.0133,0.127,-0.0121
0.01,0.02,0.0801,-0.0955
0.01,0.0267,0.0654,-0.142
0.01,0.0333,0.0493,-0.196
0.01,0.04,0.0382,-0.248
0.01,0.0467,0.0338,-0.29
0.01,0.0533,0.0328,-0.324
0.01,0.06,0.0317,-0.353
0.01,0.0667,0.0296,-0.379
0.01,0.0733,0.0271,-0.402
0.01,0.08,0.0248,-0.422
0.01,0.0867,0.0229,-0.441
0.01,0.0933,0.0214,-0.458
0.01,0.1,0.0202,-0.473
0.01,0.107,0.0191,-0.489
0.01,0.113,0.018,-0.503
0.01,0.12,0.0166,-0.517
0.01,0.127,0.0149,-0.531
0.01,0.133,0.0126,-0.543
0.01,0.14,0.0098,-0.555
0.01,0.147,0.00631,-0.566
0.01,0.153,0.00219,-0.576
0.01,0.16,-0.00247,-0.584
0.01,0.167,-0.00759,-0.59
0.01,0.173,-0.013,-0.594
0.01,0.18,-0.0187,-0.595
0.01,0.187,-0.0246,-0.592
0.01,0.193,-0.0307,-0.586
0.01,0.2,-0.0368,-0.576
0.01,0.207,-0.0425,-0.563
0.01,0.213,-0.0481,-0.545
0.01,0.22,-0.0535,-0.524
0.01,0.227,-0.0587,-0.5
0.01,0.233,-0.0636,-0.473
0.01,0.24,-0.0683,-0.443
0.01,0.247,-0.0728,-0.411
0.01,0.253,-0.077,-0.376
0.01,0.26,-0.0807,-0.34
0.01,0.267,-0.0834,-0.301
0.01,0.273,-0.0852,-0.261
0.01,0.28,-0.0865,-0.219
0.01,0.287,-0.0869,-0.176
0.01,0.293,-0.0862,-0.133
0.01,0.3,-0.0837,-0.0902
0.01,0.307,-0.0794,-0.0494
0.01,0.313,-0.0733,-0.0111
0.01,0.32,-0.0656,0.0238
0.01,0.327,-0.0567,0.0545
0.01,0.333,-0.047,0.0803
0.01,0.34,-0.0368,0.101
0.01,0.347,-0.0263,0.115
0.01,0.353,-0.0163,0.123
0.01,0.36,-0.00767,0.127
0.01,0.367,-0.000565,0.125
0.01,0.373,0.00586,0.12
0.01,0.38,0.0122,0.109
0.01,0.387,0.018,0.0937
0.01,0.393,0.0228,0.0745
0.01,0.4,0.0266,0.0523
0.01,0.407,0.0295,0.0279
0.01,0.413,0.0315,0.00167
0.01,0.42,0.0325,-0.0257
0.01,0.427,0.0329,-0.0535
0.01,0.433,0.032,-0.0809
0.01,0.44,0.0296,-0.107
0.01,0.447,0.0261,-0.131
0.01,0.453,0.0218,-0.152
0.01,0.46,0.0173,-0.171
0.01,0.467,0.0134,-0.189
0.01,0.473,0.0103,-0.204
0.01,0.48,0.00772,-0.217
0.01,0.487,0.00491,-0.228
0.01,0.493,0.00124,-0.236
0.01,0.5,-0.00282,-0.242
0.01,0.507,-0.00652,-0.246
0.01,0.513,-0.00949,-0.248
0.01,0.52,-0.0118,-0.247
0.01,0.527,-0.0137,-0.245
0.01,0.533,-0.0155,-0.241
0.01,0.54,-0.0172,-0.236
0.01,0.547,-0.0187,-0.229
0.01,0.553,-0.0201,-0.221
0.01,0.56,-0.0212,-0.213
0.01,0.567,-0.0218,-0.204
0.01,0.573,-0.0221,-0.195
0.01,0.58,-0.0218,-0.185
0.01,0.587,-0.021,-0.176
0.01,0.593,-0.02,-0.168
0.01,0.6,-0.0188,-0.16
0.01,0.607,-0.0175,-0.152
0.01,0.613,-0.0163,-0.146
0.01,0.62,-0.015,-0.14
0.01,0.627,-0.0135,-0.136
0.01,0.633,-0.0118,-0.133
0.01,0.64,-0.01,-0.131
0.01,0.647,-0.0084,-0.131
0.01,0.653,-0.0071,-0.131
0.01,0.66,-0.00619,-0.132
0.01,0.667,-0.00554,-0.133
0.01,0.673,-0.00501,-0.135
0.01,0.68,-0.0045,-0.138
0.01,0.687,-0.00401,-0.14
0.01,0.693,-0.00373,-0.142
0.01,0.7,-0.00385,-0.144
0.01,0.707,-0.00427,-0.146
0.01,0.713,-0.00474,-0.148
0.01,0.72,-0.00507,-0.15
0.01,0.727,-0.00527,-0.152
0.01,0.733,-0.00539,-0.154
0.01,0.74,-0.00555,-0.157
0.01,0.747,-0.00589,-0.159
0.01,0.753,-0.00635,-0.16
0.01,0.76,-0.0069,-0.162
0.01,0.767,-0.0075,-0.163
0.01,0.773,-0.00814,-0.164
0.01,0.78,-0.00886,-0.164
0.01,0.787,-0.00962,-0.164
0.01,0.793,-0.0105,-0.163
0.01,0.8,-0.0113,-0.161
0.01,0.807,-0.0117,-0.16
0.01,0.813,-0.0115,-0.158
0.01,0.82,-0.0111,-0.157
0.01,0.827,-0.0108,-0.155
0.01,0.833,-0.0106,-0.154
0.01,0.84,-0.0108,-0.152
0.01,0.847,-0.0112,-0.151
0.01,0.853,-0.0115,-0.149
0.01,0.86,-0.0117,-0.147
0.01,0.867,-0.0116,-0.146
0.01,0.873,-0.0112,-0.145
0.01,0.88,-0.0105,-0.144
0.01,0.887,-0.0101,-0.143
0.01,0.893,-0.00966,-0.143
0.01,0.9,-0.00922,-0.143
0.01,0.907,-0.00861,-0.143
0.01,0.913,-0.00782,-0.144
0.01,0.92,-0.00722,-0.145
0.01,0.927,-0.00687,-0.146
0.01,0.933,-0.00654,-0.147
0.01,0.94,-0.00604,-0.149
0.01,0.947,-0.0053,-0.151
0.01,0.953,-0.00456,-0.154
0.01,0.96,-0.00421,-0.156
0.01,0.967,-0.00436,-0.158
0.01,0.973,-0.00464,-0.161
0.01,0.98,-0.00486,-0.164
0.01,0.987,-0.00492,-0.167
0.01,0.993,-0.00487,-0.17
0.01,1,-0.00504,-0.173
0.015,0,0.125,-0.334
0.015,0.00667,0.163,-0.147
0.015,0.0133,0.18,-0.03
0.015,0.02,0.144,-0.093
0.015,0.0267,0.116,-0.0999
0.015,0.0333,0.0907,-0.14
0.015,0.04,0.072,-0.195
0.015,0.0467,0.0612,-0.245
0.015,0.0533,0.0555,-0.285
0.015,0.06,0.051,-0.315
0.015,0.0667,0.046,-0.339
0.015,0.0733,0.0411,-0.36
0.015,0.08,0.0368,-0.379
0.015,0.0867,0.0333,-0.395
0.015,0.0933,0.0305,-0.41
0.015,0.1,0.0283,-0.424
0.015,0.107,0.0262,-0.437
0.015,0.113,0.0241,-0.45
0.015,0.12,0.0217,-0.462
0.015,0.127,0.0189,-0.475
0.015,0.133,0.0154,-0.487
0.015,0.14,0.0111,-0.5
0.015,0.147,0.00601,-0.512
0.015,0.153,0.000156,-0.523
0.015,0.16,-0.00636,-0.533
0.015,0.167,-0.0135,-0.542
0.015,0.173,-0.021,-0.549
0.015,0.18,-0.029,-0.553
0.015,0.187,-0.0374,-0.555
0.015,0.193,-0.0459,-0.552
0.015,0.2,-0.0544,-0.545
0.015,0.207,-0.0626,-0.535
0.015,0.213,-0.0705,-0.52
0.015,0.22,-0.0781,-0.502
0.015,0.227,-0.0853,-0.48
0.015,0.233,-0.0921,-0.455
0.015,0.24,-0.0985,-0.426
0.015,0.247,-0.105,-0.395
0.015,0.253,-0.11,-0.361
0.015,0.26,-0.115,-0.325
0.015,0.267,-0.118,-0.287
0.015,0.273,-0.121,-0.246
0.015,0.28,-0.122,-0.204
0.015,0.287,-0.123,-0.16
0.015,0.293,-0.121,-0.116
0.015,0.3,-0.118,-0.0732
0.015,0.307,-0.112,-0.0322
0.015,0.313,-0.104,0.00618
0.015,0.32,-0.0929,0.0412
0.015,0.327,-0.0804,0.0719
0.015,0.333,-0.0666,0.0976
0.015,0.34,-0.0519,0.118
0.015,0.347,-0.0368,0.132
0.015,0.353,-0.0221,0.141
0.015,0.36,-0.00911,0.145
0.015,0.367,0.00182,0.144
0.015,0.373,0.0115,0.139
0.015,0.38,0.0209,0.129
0.015,0.387,0.0296,0.115
0.015,0.393,0.037,0.096
0.015,0.4,0.0429,0.0744
0.015,0.407,0.0475,0.0506
0.015,0.413,0.0506,0.0252
0.015,0.42,0.0524,-0.00132
0.015,0.427,0.0528,-0.0281
0.015,0.433,0.0515,-0.0541
0.015,0.44,0.0482,-0.0786
0.015,0.447,0.0432,-0.101
0.015,0.453,0.037,-0.122
0.015,0.46,0.0305,-0.14
0.015,0.467,0.0245,-0.157
0.015,0.473,0.0194,-0.172
0.015,0.48,0.0149,-0.185
0.015,0.487,0.0103,-0.195
0.015,0.493,0.00473,-0.204
0.015,0.5,-0.00138,-0.21
0.015,0.507,-0.00717,-0.214
0.015,0.513,-0.012,-0.217
0.015,0.52,-0.016,-0.217
0.015,0.527,-0.0193,-0.216
0.015,0.533,-0.0222,-0.212
0.015,0.54,-0.0249,-0.207
0.015,0.547,-0.0274,-0.201
0.015,0.553,-0.0295,-0.193
0.015,0.56,-0.0311,-0.184
0.015,0.567,-0.0321,-0.175
0.015,0.573,-0.0325,-0.166
0.015,0.58,-0.0321,-0.157
0.015,0.587,-0.0311,-0.149
0.015,0.593,-0.0297,-0.14
0.015,0.6,-0.028,-0.132
0.015,0.607,-0.026,-0.124
0.015,0.613,-0.024,-0.118
0.015,0.62,-0.0218,-0.112
0.015,0.627,-0.0194,-0.108
0.015,0.633,-0.0168,-0.105
0.015,0.64,-0.0141,-0.104
0.015,0.647,-0.0117,-0.103
0.015,0.653,-0.0096,-0.104
0.015,0.66,-0.00801,-0.105
0.015,0.667,-0.00687,-0.107
0.015,0.673,-0.00601,-0.109
0.015,0.68,-0.00528,-0.112
0.015,0.687,-0.00463,-0.114
0.015,0.693,-0.0042,-0.116
0.015,0.7,-0.00418,-0.118
0.015,0.707,-0.00462,-0.12
0.015,0.713,-0.00526,-0.121
0.015,0.72,-0.00582,-0.122
0.015,0.727,-0.00625,-0.124
0.015,0.733,-0.0066,-0.126
0.015,0.74,-0.00703,-0.128
0.015,0.747,-0.0076,-0.13
0.015,0.753,-0.00828,-0.132
0.015,0.76,-0.00902,-0.134
0.015,0.767,-0.00981,-0.135
0.015,0.773,-0.0107,-0.137
0.015,0.78,-0.0117,-0.137
0.015,0.787,-0.0129,-0.137
0.015,0.793,-0.0141,-0.136
0.015,0.8,-0.0152,-0.135
0.015,0.807,-0.0159,-0.133
0.015,0.813,-0.016,-0.131
0.015,0.82,-0.0156,-0.13
0.015,0.827,-0.0152,-0.128
0.015,0.833,-0.015,-0.127
0.015,0.84,-0.015,-0.126
0.015,0.847,-0.0153,-0.124
0.015,0.853,-0.0157,-0.122
0.015,0.86,-0.0159,-0.121
0.015,0.867,-0.0157,-0.12
0.015,0.873,-0.0152,-0.12
0.015,0.88,-0.0143,-0.12
0.015,0.887,-0.0134,-0.119
0.015,0.893,-0.0126,-0.119
0.015,0.9,-0.0119,-0.119
0.015,0.907,-0.0111,-0.119
0.015,0.913,-0.0101,-0.119
0.015,0.92,-0.00931,-0.119
0.015,0.927,-0.00877,-0.12
0.015,0.933,-0.00832,-0.122
0.015,0.94,-0.00768,-0.123
0.015,0.947,-0.00674,-0.125
0.015,0.953,-0.00575,-0.127
0.015,0.96,-0.00514,-0.129
0.015,0.967,-0.00505,-0.132
0.015,0.973,-0.00524,-0.134
0.015,0.98,-0.00545,-0.137
0.015,0.987,-0.00561,-0.141
0.015,0.993,-0.00583,-0.144
0.015,1,-0.00636,-0.148
0.02,0,0.2,-0.331
0.02,0.00667,0.21,-0.145
0.02,0.0133,0.212,-0.0361
0.02,0.02,0.19,-0.0961
0.02,0.0267,0.16,-0.084
0.02,0.0333,0.13,-0.111
0.02,0.04,0.106,-0.158
0.02,0.0467,0.0882,-0.207
0.02,0.0533,0.076,-0.246
0.02,0.06,0.0666,-0.276
0.02,0.0667,0.0583,-0.299
0.02,0.0733,0.0509,-0.318
0.02,0.08,0.0448,-0.333
0.02,0.0867,0.04,-0.347
0.02,0.0933,0.0362,-0.359
0.02,0.1,0.0332,-0.371
0.02,0.107,0.0306,-0.382
0.02,0.113,0.028,-0.393
0.02,0.12,0.0253,-0.404
0.02,0.127,0.0222,-0.415
0.02,0.133,0.0183,-0.427
0.02,0.14,0.0136,-0.439
0.02,0.147,0.00793,-0.452
0.02,0.153,0.00132,-0.464
0.02,0.16,-0.00619,-0.477
0.02,0.167,-0.0145,-0.488
0.02,0.173,-0.0236,-0.498
0.02,0.18,-0.0333,-0.505
0.02,0.187,-0.0436,-0.51
0.02,0.193,-0.0543,-0.51
0.02,0.2,-0.065,-0.507
0.02,0.207,-0.0755,-0.5
0.02,0.213,-0.0858,-0.488
0.02,0.22,-0.0957,-0.472
0.02,0.227,-0.105,-0.452
0.02,0.233,-0.114,-0.429
0.02,0.24,-0.122,-0.402
0.02,0.247,-0.13,-0.372
0.02,0.253,-0.136,-0.339
0.02,0.26,-0.142,-0.304
0.02,0.267,-0.147,-0.267
0.02,0.273,-0.15,-0.227
0.02,0.28,-0.152,-0.185
0.02,0.287,-0.152,-0.142
0.02,0.293,-0.15,-0.0983
0.02,0.3,-0.145,-0.056
0.02,0.307,-0.137,-0.0155
0.02,0.313,-0.127,0.0224
0.02,0.32,-0.113,0.057
0.02,0.327,-0.0973,0.0875
0.02,0.333,-0.0796,0.113
0.02,0.34,-0.0607,0.133
0.02,0.347,-0.0415,0.147
0.02,0.353,-0.0228,0.156
0.02,0.36,-0.00602,0.161
0.02,0.367,0.00845,0.16
0.02,0.373,0.0212,0.156
0.02,0.38,0.0331,0.147
0.02,0.387,0.0441,0.134
0.02,0.393,0.0535,0.117
0.02,0.4,0.0609,0.0968
0.02,0.407,0.0665,0.0744
0.02,0.413,0.0703,0.0504
0.02,0.42,0.0723,0.0256
0.02,0.427,0.0723,0.000431
0.02,0.433,0.0701,-0.024
0.02,0.44,0.0658,-0.0468
0.02,0.447,0.0595,-0.0677
0.02,0.453,0.0518,-0.0867
0.02,0.46,0.0437,-0.104
0.02,0.467,0.0359,-0.12
0.02,0.473,0.0289,-0.134
0.02,0.48,0.0225,-0.146
0.02,0.487,0.016,-0.156
0.02,0.493,0.00893,-0.164
0.02,0.5,0.00134,-0.17
0.02,0.507,-0.006,-0.174
0.02,0.513,-0.0125,-0.177
0.02,0.52,-0.018,-0.178
0.02,0.527,-0.0227,-0.177
0.02,0.533,-0.0268,-0.174
0.02,0.54,-0.0304,-0.169
0.02,0.547,-0.0336,-0.162
0.02,0.553,-0.0363,-0.155
0.02,0.56,-0.0383,-0.147
0.02,0.567,-0.0396,-0.138
0.02,0.573,-0.04,-0.129
0.02,0.58,-0.0396,-0.121
0.02,0.587,-0.0385,-0.112
0.02,0.593,-0.0368,-0.104
0.02,0.6,-0.0346,-0.096
0.02,0.607,-0.032,-0.0885
0.02,0.613,-0.0291,-0.0819
0.02,0.62,-0.026,-0.0765
0.02,0.627,-0.0227,-0.0725
0.02,0.633,-0.0192,-0.07
0.02,0.64,-0.0157,-0.0688
0.02,0.647,-0.0125,-0.0686
0.02,0.653,-0.00972,-0.0693
0.02,0.66,-0.00748,-0.0707
0.02,0.667,-0.00584,-0.0729
0.02,0.673,-0.00467,-0.0757
0.02,0.68,-0.00382,-0.0788
0.02,0.687,-0.00319,-0.0816
0.02,0.693,-0.00283,-0.0841
0.02,0.7,-0.00285,-0.086
0.02,0.707,-0.00327,-0.0873
0.02,0.713,-0.00392,-0.0882
0.02,0.72,-0.00459,-0.0891
0.02,0.727,-0.00519,-0.0905
0.02,0.733,-0.00579,-0.0923
0.02,0.74,-0.00648,-0.0945
0.02,0.747,-0.00726,-0.0967
0.02,0.753,-0.0081,-0.0989
0.02,0.76,-0.00897,-0.101
0.02,0.767,-0.00991,-0.102
0.02,0.773,-0.011,-0.104
0.02,0.78,-0.0123,-0.104
0.02,0.787,-0.0138,-0.104
0.02,0.793,-0.0154,-0.104
0.02,0.8,-0.0167,-0.103
0.02,0.807,-0.0175,-0.101
0.02,0.813,-0.0178,-0.0994
0.02,0.82,-0.0176,-0.0979
0.02,0.827,-0.0172,-0.0965
0.02,0.833,-0.0169,-0.0951
0.02,0.84,-0.0168,-0.0937
0.02,0.847,-0.0168,-0.0921
0.02,0.853,-0.017,-0.0906
0.02,0.86,-0.0171,-0.0895
0.02,0.867,-0.0168,-0.0888
0.02,0.873,-0.0163,-0.0886
0.02,0.88,-0.0153,-0.0884
0.02,0.887,-0.0143,-0.0881
0.02,0.893,-0.0132,-0.0879
0.02,0.9,-0.0123,-0.0877
0.02,0.907,-0.0114,-0.0874
0.02,0.913,-0.0104,-0.0873
0.02,0.92,-0.00951,-0.0876
0.02,0.927,-0.00877,-0.0883
0.02,0.933,-0.00814,-0.0894
0.02,0.94,-0.00736,-0.0907
0.02,0.947,-0.00627,-0.0923
0.02,0.953,-0.00508,-0.0944
0.02,0.96,-0.00418,-0.0967
0.02,0.967,-0.00373,-0.0992
0.02,0.973,-0.00363,-0.102
0.02,0.98,-0.00368,-0.105
0.02,0.987,-0.00389,-0.108
0.02,0.993,-0.00443,-0.112
0.02,1,-0.0054,-0.116
0.025,0,0.268,-0.331
0.025,0.00667,0.256,-0.143
0.025,0.0133,0.236,-0.0348
0.025,0.02,0.219,-0.0944
0.025,0.0267,0.194,-0.0756
0.025,0.0333,0.163,-0.0925
0.025,0.04,0.136,-0.13
0.025,0.0467,0.113,-0.172
0.025,0.0533,0.0945,-0.208
0.025,0.06,0.0799,-0.235
0.025,0.0667,0.068,-0.256
0.025,0.0733,0.0584,-0.272
0.025,0.08,0.0506,-0.285
0.025,0.0867,0.0446,-0.296
0.025,0.0933,0.04,-0.306
0.025,0.1,0.0364,-0.314
0.025,0.107,0.0334,-0.323
0.025,0.113,0.0308,-0.331
0.025,0.12,0.028,-0.34
0.025,0.127,0.025,-0.349
0.025,0.133,0.0213,-0.359
0.025,0.14,0.0167,-0.371
0.025,0.147,0.011,-0.383
0.025,0.153,0.00421,-0.396
0.025,0.16,-0.00382,-0.409
0.025,0.167,-0.013,-0.422
0.025,0.173,-0.0233,-0.434
0.025,0.18,-0.0346,-0.444
0.025,0.187,-0.0468,-0.452
0.025,0.193,-0.0596,-0.456
0.025,0.2,-0.0727,-0.457
0.025,0.207,-0.0859,-0.452
0.025,0.213,-0.0989,-0.444
0.025,0.22,-0.111,-0.431
0.025,0.227,-0.123,-0.413
0.025,0.233,-0.135,-0.392
0.025,0.24,-0.145,-0.367
0.025,0.247,-0.154,-0.338
0.025,0.253,-0.163,-0.307
0.025,0.26,-0.17,-0.274
0.025,0.267,-0.176,-0.238
0.025,0.273,-0.18,-0.199
0.025,0.28,-0.182,-0.159
0.025,0.287,-0.182,-0.117
0.025,0.293,-0.179,-0.0753
0.025,0.3,-0.173,-0.0342
0.025,0.307,-0.163,0.00505
0.025,0.313,-0.15,0.0419
0.025,0.32,-0.134,0.0756
0.025,0.327,-0.115,0.105
0.025,0.333,-0.093,0.13
0.025,0.34,-0.0698,0.15
0.025,0.347,-0.0463,0.164
0.025,0.353,-0.0237,0.173
0.025,0.36,-0.00312,0.178
0.025,0.367,0.0148,0.178
0.025,0.373,0.0305,0.174
0.025,0.38,0.0448,0.166
0.025,0.387,0.0579,0.155
0.025,0.393,0.0691,0.139
0.025,0.4,0.0779,0.121
0.025,0.407,0.0845,0.101
0.025,0.413,0.0887,0.0788
0.025,0.42,0.0906,0.0562
0.025,0.427,0.0901,0.0333
0.025,0.433,0.0871,0.011
0.025,0.44,0.0815,-0.00976
0.025,0.447,0.074,-0.0287
0.025,0.453,0.0649,-0.0458
0.025,0.46,0.0552,-0.0616
0.025,0.467,0.0458,-0.0761
0.025,0.473,0.0371,-0.089
0.025,0.48,0.0289,-0.1
0.025,0.487,0.0207,-0.109
0.025,0.493,0.0121,-0.116
0.025,0.5,0.0032,-0.122
0.025,0.507,-0.00542,-0.126
0.025,0.513,-0.0133,-0.128
0.025,0.52,-0.0203,-0.129
0.025,0.527,-0.0264,-0.128
0.025,0.533,-0.0316,-0.125
0.025,0.54,-0.0362,-0.12
0.025,0.547,-0.0401,-0.114
0.025,0.553,-0.0434,-0.108
0.025,0.56,-0.0457,-0.0999
0.025,0.567,-0.0471,-0.0917
0.025,0.573,-0.0476,-0.0833
0.025,0.58,-0.0472,-0.0752
0.025,0.587,-0.0459,-0.0674
0.025,0.593,-0.044,-0.0598
0.025,0.6,-0.0414,-0.0523
0.025,0.607,-0.0381,-0.0452
0.025,0.613,-0.0345,-0.0389
0.025,0.62,-0.0304,-0.0337
0.025,0.627,-0.0261,-0.0298
0.025,0.633,-0.0217,-0.0275
0.025,0.64,-0.0175,-0.0265
0.025,0.647,-0.0136,-0.0266
0.025,0.653,-0.01,-0.0275
0.025,0.66,-0.00713,-0.0292
0.025,0.667,-0.00493,-0.0317
0.025,0.673,-0.00341,-0.0349
0.025,0.68,-0.00243,-0.0384
0.025,0.687,-0.00188,-0.0418
0.025,0.693,-0.00171,-0.0447
0.025,0.7,-0.00192,-0.0469
0.025,0.707,-0.00245,-0.0485
0.025,0.713,-0.00319,-0.0495
0.025,0.72,-0.00395,-0.0503
0.025,0.727,-0.0047,-0.0513
0.025,0.733,-0.00547,-0.0529
0.025,0.74,-0.0063,-0.0548
0.025,0.747,-0.00719,-0.0569
0.025,0.753,-0.00813,-0.059
0.025,0.76,-0.00914,-0.061
0.025,0.767,-0.0103,-0.0627
0.025,0.773,-0.0116,-0.064
0.025,0.78,-0.0132,-0.0648
0.025,0.787,-0.0151,-0.0651
0.025,0.793,-0.0169,-0.0648
0.025,0.8,-0.0184,-0.0639
0.025,0.807,-0.0194,-0.0625
0.025,0.813,-0.0199,-0.061
0.025,0.82,-0.0199,-0.0594
0.025,0.827,-0.0195,-0.058
0.025,0.833,-0.0191,-0.0567
0.025,0.84,-0.0189,-0.0553
0.025,0.847,-0.0187,-0.0539
0.025,0.853,-0.0187,-0.0525
0.025,0.86,-0.0185,-0.0512
0.025,0.867,-0.0182,-0.0505
0.025,0.873,-0.0176,-0.0502
0.025,0.88,-0.0168,-0.05
0.025,0.887,-0.0156,-0.0496
0.025,0.893,-0.0144,-0.0493
0.025,0.9,-0.0133,-0.049
0.025,0.907,-0.0123,-0.0487
0.025,0.913,-0.0113,-0.0484
0.025,0.92,-0.0103,-0.0485
0.025,0.927,-0.0094,-0.0491
0.025,0.933,-0.00852,-0.0501
